epoch,train loss,reg loss,train acc,test loss,test acc
15,"tensor(0.3988, device='cuda:0')",0.0,tensor(86.2680),"tensor(0.4570, device='cuda:0')",tensor(84.6100)
14,"tensor(1.1262, device='cuda:0')",0.0,tensor(66.5087),"tensor(0.5590, device='cuda:0')",tensor(85.6100)
2,"tensor(1.3765, device='cuda:0')",0.0,tensor(53.8906),"tensor(0.8948, device='cuda:0')",tensor(69.3000)
16,"tensor(0.3709, device='cuda:0')",0.0,tensor(87.1840),"tensor(0.4459, device='cuda:0')",tensor(84.9600)
15,"tensor(1.1445, device='cuda:0')",0.0,tensor(65.7569),"tensor(0.5466, device='cuda:0')",tensor(85.7200)
3,"tensor(1.2575, device='cuda:0')",0.0,tensor(58.3971),"tensor(0.7222, device='cuda:0')",tensor(76.6100)
17,"tensor(0.3494, device='cuda:0')",0.0,tensor(87.8680),"tensor(0.4942, device='cuda:0')",tensor(84.2000)
16,"tensor(1.1412, device='cuda:0')",0.0,tensor(65.8747),"tensor(0.5366, device='cuda:0')",tensor(86.4800)
4,"tensor(1.1637, device='cuda:0')",0.0,tensor(61.9422),"tensor(0.6505, device='cuda:0')",tensor(79.2200)
18,"tensor(0.3307, device='cuda:0')",0.0,tensor(88.4720),"tensor(0.4577, device='cuda:0')",tensor(84.5200)
17,"tensor(1.1434, device='cuda:0')",0.0,tensor(65.6914),"tensor(0.5206, device='cuda:0')",tensor(86.4600)
5,"tensor(1.1107, device='cuda:0')",0.0,tensor(63.6393),"tensor(0.7088, device='cuda:0')",tensor(77.5100)
19,"tensor(0.3087, device='cuda:0')",0.0,tensor(89.4120),"tensor(0.4233, device='cuda:0')",tensor(86.3200)
18,"tensor(1.0952, device='cuda:0')",0.0,tensor(67.3117),"tensor(0.4813, device='cuda:0')",tensor(87.2600)
6,"tensor(1.0560, device='cuda:0')",0.0,tensor(65.7247),"tensor(0.7686, device='cuda:0')",tensor(75.4800)
20,"tensor(0.2963, device='cuda:0')",0.0,tensor(89.6540),"tensor(0.3950, device='cuda:0')",tensor(86.8400)
19,"tensor(1.1057, device='cuda:0')",0.0,tensor(67.2304),"tensor(0.5485, device='cuda:0')",tensor(86.7700)
7,"tensor(1.0328, device='cuda:0')",0.0,tensor(66.3420),"tensor(0.5461, device='cuda:0')",tensor(82.6700)
21,"tensor(0.2818, device='cuda:0')",0.0,tensor(90.2780),"tensor(0.4574, device='cuda:0')",tensor(85.3600)
20,"tensor(1.0729, device='cuda:0')",0.0,tensor(68.3022),"tensor(0.4671, device='cuda:0')",tensor(87.6100)
8,"tensor(0.9960, device='cuda:0')",0.0,tensor(67.6062),"tensor(0.5303, device='cuda:0')",tensor(83.4400)
22,"tensor(0.2711, device='cuda:0')",0.0,tensor(90.6060),"tensor(0.4521, device='cuda:0')",tensor(85.6000)
21,"tensor(1.0972, device='cuda:0')",0.0,tensor(67.4781),"tensor(0.5134, device='cuda:0')",tensor(87.9700)
9,"tensor(0.9751, device='cuda:0')",0.0,tensor(68.5958),"tensor(0.5388, device='cuda:0')",tensor(82.8700)
22,"tensor(1.0830, device='cuda:0')",0.0,tensor(67.8305),"tensor(0.4392, device='cuda:0')",tensor(88.6500)
23,"tensor(0.2577, device='cuda:0')",0.0,tensor(91.1240),"tensor(0.4039, device='cuda:0')",tensor(87.0800)
10,"tensor(0.9752, device='cuda:0')",0.0,tensor(68.0280),"tensor(0.4755, device='cuda:0')",tensor(85.5700)
23,"tensor(1.1124, device='cuda:0')",0.0,tensor(66.3163),"tensor(0.5292, device='cuda:0')",tensor(87.4900)
24,"tensor(0.2458, device='cuda:0')",0.0,tensor(91.5640),"tensor(0.4117, device='cuda:0')",tensor(86.8300)
11,"tensor(0.9309, device='cuda:0')",0.0,tensor(69.9900),"tensor(0.6256, device='cuda:0')",tensor(80.3300)
24,"tensor(1.0583, device='cuda:0')",0.0,tensor(68.4370),"tensor(0.4113, device='cuda:0')",tensor(89.6300)
25,"tensor(0.2370, device='cuda:0')",0.0,tensor(91.7440),"tensor(0.3788, device='cuda:0')",tensor(88.0900)
12,"tensor(0.9342, device='cuda:0')",0.0,tensor(69.5353),"tensor(0.4994, device='cuda:0')",tensor(84.5100)
25,"tensor(1.0423, device='cuda:0')",0.0,tensor(69.3851),"tensor(0.4556, device='cuda:0')",tensor(89.2800)
26,"tensor(0.2291, device='cuda:0')",0.0,tensor(92.0180),"tensor(0.3646, device='cuda:0')",tensor(88.4200)
13,"tensor(0.9031, device='cuda:0')",0.0,tensor(70.5575),"tensor(0.5081, device='cuda:0')",tensor(84.5500)
26,"tensor(1.0519, device='cuda:0')",0.0,tensor(68.9090),"tensor(0.4996, device='cuda:0')",tensor(88.9900)
27,"tensor(0.2235, device='cuda:0')",0.0,tensor(92.3560),"tensor(0.3546, device='cuda:0')",tensor(88.5900)
14,"tensor(0.8993, device='cuda:0')",0.0,tensor(70.3577),"tensor(0.4543, device='cuda:0')",tensor(86.1300)
27,"tensor(1.0412, device='cuda:0')",0.0,tensor(69.1517),"tensor(0.5014, device='cuda:0')",tensor(88.2500)
